	bert-base-dutch-cased	GysBERT	GysBERT-v2	xlm-roberta-base	lexical_baseline
P-event	0.6579353522594583	0.7051476807226912	0.723172155143106	0.6241920974081396	0.8344249871864416
R-event	0.34075247869551684	0.3791763607960357	0.3721063369750075	0.3660347099952252	0.2220568433621203
f1-event	0.42636656353099933	0.465267669822582	0.459810774301206	0.43645104493245934	0.3445181879532047
mean_accuracy	45.58653382097667	52.043573985345475	50.36734760592127	49.3004387108143	34.966678756340585
