,GysBERT,GysBERT-v2,xlm-roberta-base,bert-base-dutch-cased,robbert-v2-dutch-base,bert-base-multilingual-cased
23052024,483982.32490945316,481224.5109089593,455862.39507890044,450917.8115238713,472494.154853603,503673.5241981627
21102024,504163.67684736254,480657.0263905861,466701.9207008207,447862.01823759783,455612.3433603998,498262.21565436234
888,500326.9270167403,484097.61903626344,458169.5071745227,434892.75085797696,441924.4442579674,498117.8512377368
553311,487762.67137057934,487925.5777664231,474537.9353716312,442428.4383982245,436067.53818890976,486111.53437484376
6834,475860.8274398978,478880.88969630003,436717.24940296466,452370.47552412516,465278.34680707275,499187.6046963836
