,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,lex_precision,lex_recall,lex_f1,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2518,184,129,7.307386814932486,0.6201550387596899,0.43478260869565216,0.5111821086261981,0.76,0.20652173913043478,0.3247863247863248,0.9564671410632064,0.9790059982862039,0.967605335591785,0.7883110899114482,0.7068943034909281,0.7453860470220557
1,1066,1618,4,639,56,33,8.763693270735525,0.8484848484848485,0.5,0.6292134831460674,0.8333333333333334,0.17857142857142858,0.29411764705882354,0.9537953795379538,0.9914236706689536,0.9722455845248108,0.9011401140114011,0.7457118353344768,0.816091390097177
2,7673,1716,3_ESTA,598,43,61,7.190635451505016,0.5409836065573771,0.7674418604651163,0.6346153846153847,0.6875,0.2558139534883721,0.3728813559322034,0.9813780260707635,0.9495495495495495,0.9652014652014652,0.7611808163140703,0.858495705007333,0.8069147795097691
3,11012,1736,3,3709,301,154,8.115394985171205,0.7012987012987013,0.3588039867109635,0.47472527472527465,0.908256880733945,0.3289036544850498,0.48292682926829267,0.9457102672292546,0.9865023474178404,0.9656757144908804,0.8235044842639779,0.6726531670644019,0.7404739720310709
4,9001,1720,2,3346,164,184,4.901374775851764,0.5597826086956522,0.6280487804878049,0.5919540229885057,0.6382978723404256,0.18292682926829268,0.28436018957345977,0.980708412397217,0.9745443117536141,0.9776166456494326,0.7702455105464345,0.8012965461207096,0.7854642701382871
5,1090,1626,2,3484,192,165,5.510907003444316,0.503030303030303,0.4322916666666667,0.4649859943977592,0.703125,0.234375,0.3515625,0.9671587827658933,0.9750911300121506,0.9711087581303887,0.7350945428980982,0.7036913983394086,0.7190502658911392
6,1430,1686,4,2042,179,111,8.765915768854065,0.7387387387387387,0.4581005586592179,0.5655172413793103,0.9,0.15083798882681565,0.25837320574162687,0.949766960124288,0.9844337090713903,0.9667896678966791,0.8442528494315134,0.721267133865304,0.7779291730083682
7,2665,1746,3_ESTA,231,21,10,9.090909090909092,0.9,0.42857142857142855,0.5806451612903225,1.0,0.2857142857142857,0.4444444444444445,0.9457013574660633,0.9952380952380953,0.9698375870069605,0.9228506787330317,0.7119047619047619,0.8037676784984645
8,1439,1686,3_ESTA,380,49,25,12.894736842105264,0.84,0.42857142857142855,0.5675675675675675,1.0,0.12244897959183673,0.2181818181818182,0.9211267605633803,0.9879154078549849,0.9533527696793003,0.8805633802816901,0.7082434182132067,0.7850585974265432
9,1595,1697,3,2649,178,135,6.719516798791997,0.674074074074074,0.5112359550561798,0.5814696485623003,0.9464285714285714,0.29775280898876405,0.452991452991453,0.9653937947494033,0.9821934439498179,0.9737211634904714,0.8197339344117387,0.7467146995029988,0.7815224390434621
10,2693,1747,3,419,26,17,6.205250596658711,0.7058823529411765,0.46153846153846156,0.558139534883721,0.625,0.19230769230769232,0.29411764705882354,0.9651741293532339,0.9872773536895675,0.9761006289308177,0.8355282411472051,0.7244079076140145,0.7760103070917586
11,3476,1777,2,2161,138,135,6.385932438685793,0.5925925925925926,0.5797101449275363,0.5860805860805861,0.9387755102040817,0.3333333333333333,0.4919786096256684,0.9713721618953604,0.9728126544735541,0.9720918745369227,0.7819823772439765,0.7762613997005452,0.7791113863978946
12,8596,1707,4,1482,159,124,10.728744939271255,0.7983870967741935,0.6226415094339622,0.6996466431095405,0.9629629629629629,0.16352201257861634,0.27956989247311825,0.9558173784977909,0.981103552532124,0.968295412159642,0.8771022376359923,0.8018725309830431,0.8378019781709419
13,1348,1679,3_ESTA,272,32,21,11.76470588235294,0.6666666666666666,0.4375,0.5283018867924528,0.75,0.28125,0.4090909090909091,0.9282868525896414,0.9708333333333333,0.9490835030549898,0.797476759628154,0.7041666666666666,0.7479226316157964
14,4071,1713,4,475,58,19,12.210526315789473,0.7894736842105263,0.25862068965517243,0.38961038961038963,0.7777777777777778,0.1206896551724138,0.208955223880597,0.9057017543859649,0.9904076738609112,0.9461626575028635,0.8475877192982456,0.6245141817580419,0.7191493341675526
