,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,lex_precision,lex_recall,lex_f1,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2602,186,15,7.148347425057648,0.13333333333333333,0.010752688172043012,0.019900497512437814,0.7647058823529411,0.20967741935483872,0.3291139240506329,0.928875144955547,0.9946192052980133,0.9606236258245053,0.5311042391444402,0.5026859467350282,0.5165044917546494
1,1066,1618,4,524,49,20,9.351145038167939,0.6,0.24489795918367346,0.34782608695652173,1.0,0.1836734693877551,0.3103448275862069,0.9265873015873016,0.9831578947368421,0.9540347293156283,0.7632936507936507,0.6140279269602578,0.6805725338639743
2,7673,1716,3_ESTA,611,45,20,7.3649754500818325,0.45,0.2,0.27692307692307694,0.6875,0.24444444444444444,0.360655737704918,0.9390862944162437,0.980565371024735,0.9593777009507346,0.6945431472081218,0.5902826855123675,0.6381826761221592
3,11012,1736,3,3881,301,0,7.7557330584900805,0.0,0.0,0.0,0.9035087719298246,0.34219269102990035,0.4963855421686747,0.9224426694150992,1.0,0.959656882455435,0.4612213347075496,0.5,0.4798284412277175
4,9001,1720,2,3417,165,57,4.8287971905179985,0.21052631578947367,0.07272727272727272,0.1081081081081081,0.6170212765957447,0.17575757575757575,0.27358490566037735,0.9544642857142858,0.9861623616236163,0.9700544464609802,0.5824953007518797,0.5294448171754444,0.5547045439587086
5,1090,1626,2,3526,198,1,5.615428247305728,0.0,0.0,0.0,0.7121212121212122,0.23737373737373738,0.3560606060606061,0.9438297872340425,0.9996995192307693,0.9709616226470159,0.47191489361702127,0.49984975961538464,0.48548081132350795
6,1430,1686,4,1963,179,24,9.11869587366276,0.5,0.0670391061452514,0.11822660098522167,0.875,0.1564245810055866,0.2654028436018957,0.9138731304796287,0.9932735426008968,0.9519204942250873,0.7069365652398143,0.5301563243730741,0.6059155203935322
7,2665,1746,3_ESTA,242,21,0,8.677685950413224,0.0,0.0,0.0,1.0,0.2857142857142857,0.4444444444444445,0.9132231404958677,1.0,0.9546436285097192,0.45661157024793386,0.5,0.4773218142548596
8,1439,1686,3_ESTA,389,49,1,12.596401028277635,1.0,0.02040816326530612,0.039999999999999994,1.0,0.12244897959183673,0.2181818181818182,0.8762886597938144,1.0,0.9340659340659341,0.9381443298969072,0.5102040816326531,0.6609529343404997
9,1595,1697,3,2663,176,38,6.609087495306046,0.5526315789473685,0.11931818181818182,0.1962616822429907,0.9491525423728814,0.3181818181818182,0.47659574468085103,0.940952380952381,0.9931644551668677,0.9663536776212833,0.7467919799498748,0.5562413184925248,0.6375839451892933
10,2693,1747,3,439,26,0,5.922551252847381,0.0,0.0,0.0,0.625,0.19230769230769232,0.29411764705882354,0.9407744874715261,1.0,0.9694835680751174,0.47038724373576307,0.5,0.4847417840375587
11,3476,1777,2,2194,138,10,6.289881494986327,0.4,0.028985507246376812,0.05405405405405405,0.9411764705882353,0.34782608695652173,0.5079365079365079,0.9386446886446886,0.9970817120622568,0.9669811320754716,0.6693223443223444,0.5130336096543168,0.5808485290323324
12,8596,1707,4,1517,160,1,10.54713249835201,1.0,0.00625,0.012422360248447204,0.9655172413793104,0.175,0.29629629629629634,0.8951187335092349,1.0,0.9446571528019493,0.9475593667546174,0.503125,0.6572633128527502
13,1348,1679,3_ESTA,281,32,5,11.387900355871885,1.0,0.15625,0.2702702702702703,0.75,0.28125,0.4090909090909091,0.9021739130434783,1.0,0.9485714285714286,0.9510869565217391,0.578125,0.7191248334073745
14,4071,1713,4,489,62,0,12.678936605316974,0.0,0.0,0.0,0.7,0.11290322580645161,0.19444444444444445,0.8732106339468303,1.0,0.9323144104803494,0.43660531697341515,0.5,0.4661572052401747
