,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,lex_precision,lex_recall,lex_f1,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2602,186,108,7.148347425057648,0.5462962962962963,0.3172043010752688,0.4013605442176871,0.76,0.20430107526881722,0.3220338983050847,0.9490777866880513,0.9797185430463576,0.9641547861507129,0.7476870414921738,0.6484614220608133,0.6945482014836688
1,1066,1618,4,573,51,44,8.900523560209423,0.5681818181818182,0.49019607843137253,0.5263157894736843,0.9,0.17647058823529413,0.2950819672131148,0.9508506616257089,0.9636015325670498,0.9571836346336823,0.7595162399037636,0.7268988054992112,0.7428496492291939
2,7673,1716,3_ESTA,611,45,50,7.3649754500818325,0.52,0.5777777777777777,0.5473684210526315,0.6875,0.24444444444444444,0.360655737704918,0.966131907308378,0.9575971731448764,0.9618456078083408,0.743065953654189,0.767687475461327,0.7551760797869158
3,11012,1736,3,3881,301,228,7.7557330584900805,0.5789473684210527,0.43853820598006643,0.49905482041587906,0.908256880733945,0.3289036544850498,0.48292682926829267,0.9537366548042705,0.9731843575418995,0.9633623669293516,0.7663420116126616,0.705861281760983,0.7348593187081199
4,9001,1720,2,3423,166,167,4.849547180835525,0.47305389221556887,0.4759036144578313,0.47447447447447444,0.625,0.18072289156626506,0.2803738317757009,0.9732800982800983,0.972981271108382,0.9731306617534162,0.7231669952478336,0.7244424427831067,0.7238041571351823
5,1090,1626,2,3588,205,188,5.713489409141583,0.425531914893617,0.3902439024390244,0.4071246819338422,0.703125,0.21951219512195122,0.3345724907063197,0.9632352941176471,0.9680756724800473,0.9656494176618016,0.6943836045056321,0.6791597874595359,0.6866873285695089
6,1430,1686,4,2066,184,122,8.906098741529526,0.6475409836065574,0.42934782608695654,0.5163398692810459,0.9,0.14673913043478262,0.25233644859813087,0.9459876543209876,0.9771519659936238,0.9613173026659697,0.7967643189637725,0.7032498960402902,0.7470921526945237
7,2665,1746,3_ESTA,242,21,14,8.677685950413224,0.6428571428571429,0.42857142857142855,0.5142857142857143,1.0,0.2857142857142857,0.4444444444444445,0.9473684210526315,0.9773755656108597,0.9621380846325167,0.7951127819548872,0.7029734970911441,0.7462096419021016
8,1439,1686,3_ESTA,389,49,36,12.596401028277635,0.75,0.5510204081632653,0.6352941176470588,1.0,0.12244897959183673,0.2181818181818182,0.9376770538243626,0.9735294117647059,0.9552669552669553,0.8438385269121813,0.7622749099639856,0.8009856867609527
9,1595,1697,3,2750,182,100,6.618181818181817,0.69,0.3791208791208791,0.48936170212765956,0.9464285714285714,0.29120879120879123,0.44537815126050423,0.9573584905660377,0.9879283489096573,0.9724032196243771,0.8236792452830188,0.6835246140152682,0.7470854519528403
10,2693,1747,3,439,26,17,5.922551252847381,0.7058823529411765,0.46153846153846156,0.558139534883721,0.625,0.19230769230769232,0.29411764705882354,0.966824644549763,0.9878934624697336,0.977245508982036,0.8363534987454697,0.7247159620040976,0.7765429350309375
11,3476,1777,2,2194,138,104,6.289881494986327,0.5769230769230769,0.43478260869565216,0.4958677685950413,0.9387755102040817,0.3333333333333333,0.4919786096256684,0.9626794258373206,0.9785992217898832,0.9705740472744813,0.7698012513801987,0.7066909152427677,0.7368973072673511
12,8596,1707,4,1523,160,108,10.505581089954038,0.7962962962962963,0.5375,0.6417910447761194,0.9629629629629629,0.1625,0.27807486631016043,0.9477031802120142,0.9838591342626559,0.9654427645788337,0.8719997382541552,0.760679567131328,0.8125446084186031
13,1348,1679,3_ESTA,281,32,11,11.387900355871885,0.7272727272727273,0.25,0.37209302325581395,0.75,0.28125,0.4090909090909091,0.9111111111111111,0.9879518072289156,0.9479768786127168,0.8191919191919192,0.6189759036144578,0.7051472719310679
14,4071,1713,4,489,62,19,12.678936605316974,0.8421052631578947,0.25806451612903225,0.3950617283950617,0.7777777777777778,0.11290322580645161,0.19718309859154928,0.902127659574468,0.9929742388758782,0.9453734671125975,0.8721164613661814,0.6255193775024552,0.7285158806503
