,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,lex_precision,lex_recall,lex_f1,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2602,186,96,7.148347425057648,0.6458333333333334,0.3333333333333333,0.43971631205673756,0.7647058823529411,0.20967741935483872,0.3291139240506329,0.9505187549880287,0.9859271523178808,0.9678992279561154,0.7981760441606811,0.659630242825607,0.7223196422286312
1,1066,1618,4,648,58,28,8.950617283950617,0.75,0.3620689655172414,0.48837209302325585,0.8461538461538461,0.1896551724137931,0.30985915492957744,0.9403225806451613,0.988135593220339,0.9636363636363636,0.8451612903225807,0.6751022793687902,0.7506202541535264
2,7673,1716,3_ESTA,611,45,54,7.3649754500818325,0.5370370370370371,0.6444444444444445,0.585858585858586,0.6875,0.24444444444444444,0.360655737704918,0.9712746858168761,0.9558303886925795,0.9634906500445236,0.7541558614269566,0.800137416568512,0.7764664895551648
3,11012,1736,3,3881,301,228,7.7557330584900805,0.5175438596491229,0.3920265780730897,0.446124763705104,0.9035087719298246,0.34219269102990035,0.4963855421686747,0.949904188338352,0.9692737430167597,0.959491220793585,0.7337240239937375,0.6806501605449247,0.7061913038096096
4,9001,1720,2,3423,166,199,4.849547180835525,0.4623115577889447,0.5542168674698795,0.5041095890410958,0.625,0.18072289156626506,0.2803738317757009,0.9770471464019851,0.9671476819158735,0.9720722110785371,0.719679352095465,0.7606822746928765,0.7396129657712974
5,1090,1626,2,3658,206,165,5.6314926189174415,0.5151515151515151,0.41262135922330095,0.45822102425876005,0.7164179104477612,0.23300970873786409,0.3516483516483516,0.9653592900085886,0.9768250289687138,0.9710583153347732,0.7402554025800518,0.6947231940960074,0.7167669244941838
6,1430,1686,4,2088,184,115,8.812260536398467,0.6173913043478261,0.3858695652173913,0.4749163879598662,0.875,0.15217391304347827,0.2592592592592593,0.94272681196148,0.976890756302521,0.9595047717307197,0.780059058154653,0.6813801607599561,0.7273881247588629
7,2665,1746,3_ESTA,242,21,9,8.677685950413224,1.0,0.42857142857142855,0.6,1.0,0.2857142857142857,0.4444444444444445,0.9484978540772532,1.0,0.973568281938326,0.9742489270386265,0.7142857142857143,0.8242556281771967
8,1439,1686,3_ESTA,389,49,25,12.596401028277635,0.76,0.3877551020408163,0.5135135135135135,1.0,0.12244897959183673,0.2181818181818182,0.9175824175824175,0.9823529411764705,0.9488636363636364,0.8387912087912088,0.6850540216086434,0.7541675222773314
9,1595,1697,3,2750,182,89,6.618181818181817,0.6741573033707865,0.32967032967032966,0.44280442804428044,0.9508196721311475,0.31868131868131866,0.47736625514403286,0.9541525742202179,0.9887071651090342,0.971122585580417,0.8141549387955023,0.6591887473896819,0.7285221762144571
10,2693,1747,3,439,26,13,5.922551252847381,0.6923076923076923,0.34615384615384615,0.46153846153846156,0.625,0.19230769230769232,0.29411764705882354,0.960093896713615,0.9903147699757869,0.9749702026221693,0.8262007945106536,0.6682343080648165,0.7388687742826184
11,3476,1777,2,2194,138,70,6.289881494986327,0.6571428571428571,0.3333333333333333,0.4423076923076923,0.9411764705882353,0.34782608695652173,0.5079365079365079,0.9566854990583804,0.9883268482490273,0.9722488038277511,0.8069141781006188,0.6608300907911803,0.7266022847120815
12,8596,1707,4,1523,160,112,10.505581089954038,0.7946428571428571,0.55625,0.6544117647058824,0.9655172413793104,0.175,0.29629629629629634,0.9496810772501771,0.983125458547322,0.966113914924297,0.8721619671965171,0.769687729273661,0.8177269399672231
13,1348,1679,3_ESTA,281,32,12,11.387900355871885,0.8333333333333334,0.3125,0.45454545454545453,0.75,0.28125,0.4090909090909091,0.9182156133828996,0.9919678714859438,0.9536679536679538,0.8757744733581165,0.6522339357429718,0.7476527330338838
14,4071,1713,4,489,62,18,12.678936605316974,0.7777777777777778,0.22580645161290322,0.35000000000000003,0.7,0.11290322580645161,0.19444444444444445,0.8980891719745223,0.990632318501171,0.9420935412026726,0.83793347487615,0.6082193850570371,0.704831967529939
