inv_nr	year	round	#tokens	#gold_event_tokens	#predicted_event_tokens	gold_event_density	P-event	R-event	f1-event	lex_precision	lex_recall	lex_f1	P-none	R-none	f1-none	P-macro	R-macro	f1-macro
1160	1647	2	2602	186	92	7.148347425057648	0.5652173913043478	0.27956989247311825	0.37410071942446044	0.7551020408163265	0.1989247311827957	0.31489361702127655	0.9466135458167331	0.9834437086092715	0.9646772228989038	0.7559154685605405	0.6315068005411949	0.6881333385823885
1066	1618	4	553	51	29	9.22242314647378	0.7586206896551724	0.43137254901960786	0.55	1.0	0.17647058823529413	0.3	0.9446564885496184	0.9860557768924303	0.9649122807017545	0.8516385891023954	0.7087141629560191	0.7736306152830159
7673	1716	3_ESTA	611	45	49	7.3649754500818325	0.42857142857142855	0.4666666666666667	0.44680851063829785	0.6875	0.24444444444444444	0.360655737704918	0.9572953736654805	0.950530035335689	0.9539007092198581	0.6929334011184545	0.7085983510011779	0.7006783323225955
11012	1736	3	3881	301	214	7.7557330584900805	0.4532710280373832	0.3222591362126246	0.3766990291262136	0.908256880733945	0.3289036544850498	0.48292682926829267	0.9443686937551131	0.96731843575419	0.9557058093004002	0.6988198608962481	0.6447887859834073	0.6707179367665145
9001	1720	2	3423	166	116	4.849547180835525	0.43103448275862066	0.30120481927710846	0.35460992907801414	0.625	0.18072289156626506	0.2803738317757009	0.9649228908376172	0.9797359533312865	0.9722730042656916	0.6979786867981189	0.6404703863041975	0.6679890750412056
3598	1781	3	3652	655	41	17.93537787513691	1.0	0.06259541984732825	0.117816091954023	1.0	0.15877862595419848	0.2740447957839262	0.8299639988922736	1.0	0.9070823244552058	0.9149819994461368	0.5312977099236641	0.6722459532242656
1348	1679	3_ESTA	281	32	11	11.387900355871885	0.7272727272727273	0.25	0.37209302325581395	0.75	0.28125	0.4090909090909091	0.9111111111111111	0.9879518072289156	0.9479768786127168	0.8191919191919192	0.6189759036144578	0.7051472719310679
1090	1626	2	3575	205	173	5.734265734265734	0.42196531791907516	0.35609756097560974	0.3862433862433862	0.703125	0.21951219512195122	0.3345724907063197	0.9611992945326279	0.9703264094955489	0.9657412876550502	0.6915823062258515	0.6632119852355793	0.6771000987479506
1430	1686	4	2043	184	108	9.006363191385217	0.6296296296296297	0.3695652173913043	0.4657534246575342	0.9	0.14673913043478262	0.25233644859813087	0.9400516795865633	0.9784830554061323	0.9588824459673169	0.7848406546080965	0.6740241363987183	0.7252235405143256
2665	1746	3_ESTA	242	21	8	8.677685950413224	1.0	0.38095238095238093	0.5517241379310345	1.0	0.2857142857142857	0.4444444444444445	0.9444444444444444	1.0	0.9714285714285714	0.9722222222222222	0.6904761904761905	0.807478122513922
1439	1686	3_ESTA	389	49	15	12.596401028277635	0.8666666666666667	0.2653061224489796	0.40625	1.0	0.12244897959183673	0.2181818181818182	0.9037433155080213	0.9941176470588236	0.9467787114845937	0.8852049910873441	0.6297118847539016	0.7359137814365293
1595	1697	3	2750	182	94	6.618181818181817	0.6914893617021277	0.35714285714285715	0.4710144927536232	0.9464285714285714	0.29120879120879123	0.44537815126050423	0.9559487951807228	0.9887071651090342	0.9720520673813169	0.8237190784414252	0.6729250111259457	0.7407254321701554
2693	1747	3	439	26	11	5.922551252847381	0.7272727272727273	0.3076923076923077	0.43243243243243246	0.625	0.19230769230769232	0.29411764705882354	0.9579439252336449	0.9927360774818402	0.9750297265160524	0.842608326253186	0.6502141925870739	0.7340134350967501
3476	1777	2	2194	138	105	6.289881494986327	0.4857142857142857	0.3695652173913043	0.4197530864197531	0.9387755102040817	0.3333333333333333	0.4919786096256684	0.9583532790809	0.9737354085603113	0.9659831121833534	0.7220337823975929	0.6716503129758078	0.6959313341328172
8596	1707	4	1523	160	104	10.505581089954038	0.75	0.4875	0.5909090909090908	0.9629629629629629	0.1625	0.27807486631016043	0.9422128259337562	0.9809244314013206	0.9611790079079798	0.846106412966878	0.7342122157006603	0.7861979893342632
4071	1713	4	489	62	18	12.678936605316974	0.7222222222222222	0.20967741935483872	0.325	0.7777777777777778	0.11290322580645161	0.19718309859154928	0.8959660297239915	0.9882903981264637	0.9398663697104677	0.8090941259731068	0.5989839087406512	0.6883629318356514
