,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,lex_precision,lex_recall,lex_f1,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2602,186,29,7.148347425057648,0.3103448275862069,0.04838709677419355,0.08372093023255812,0.7647058823529411,0.20967741935483872,0.3291139240506329,0.9312087057909055,0.9917218543046358,0.9605131288835438,0.6207767666885562,0.5200544755394146,0.5659693105823242
1,1066,1618,4,524,49,22,9.351145038167939,0.5454545454545454,0.24489795918367346,0.3380281690140845,1.0,0.1836734693877551,0.3103448275862069,0.9262948207171314,0.9789473684210527,0.9518935516888434,0.7358746830858385,0.611922663802363,0.6681989652795447
2,7673,1716,3_ESTA,611,45,22,7.3649754500818325,0.4090909090909091,0.2,0.2686567164179105,0.6875,0.24444444444444444,0.360655737704918,0.9388794567062818,0.9770318021201413,0.9575757575757575,0.6739851828985954,0.5885159010600707,0.6283574758937627
3,11012,1736,3,3881,301,0,7.7557330584900805,0.0,0.0,0.0,0.9035087719298246,0.34219269102990035,0.4963855421686747,0.9224426694150992,1.0,0.959656882455435,0.4612213347075496,0.5,0.4798284412277175
4,9001,1720,2,3417,165,25,4.8287971905179985,0.16,0.024242424242424242,0.042105263157894736,0.6170212765957447,0.17575757575757575,0.27358490566037735,0.9525353773584906,0.9935424354243543,0.9726068633353402,0.5562676886792453,0.5088924298333892,0.5315265016213178
5,1090,1626,2,3526,198,0,5.615428247305728,0.0,0.0,0.0,0.7121212121212122,0.23737373737373738,0.3560606060606061,0.9438457175269427,1.0,0.9711117595564633,0.47192285876347134,0.5,0.48555587977823167
6,1430,1686,4,1963,179,8,9.11869587366276,0.375,0.01675977653631285,0.03208556149732621,0.875,0.1564245810055866,0.2654028436018957,0.9099744245524297,0.9971973094170403,0.9515913345814389,0.6424872122762149,0.5069785429766765,0.5667454280780719
7,2665,1746,3_ESTA,242,21,0,8.677685950413224,0.0,0.0,0.0,1.0,0.2857142857142857,0.4444444444444445,0.9132231404958677,1.0,0.9546436285097192,0.45661157024793386,0.5,0.4773218142548596
8,1439,1686,3_ESTA,389,49,4,12.596401028277635,0.25,0.02040816326530612,0.037735849056603765,1.0,0.12244897959183673,0.2181818181818182,0.8753246753246753,0.9911764705882353,0.9296551724137931,0.5626623376623376,0.5057923169267707,0.5327138333692049
9,1595,1697,3,2663,176,16,6.609087495306046,0.5625,0.05113636363636364,0.09375,0.9491525423728814,0.3181818181818182,0.47659574468085103,0.9369097091046468,0.9971853638922397,0.9661082976236852,0.7497048545523234,0.5241608637643016,0.6169660404233634
10,2693,1747,3,439,26,0,5.922551252847381,0.0,0.0,0.0,0.625,0.19230769230769232,0.29411764705882354,0.9407744874715261,1.0,0.9694835680751174,0.47038724373576307,0.5,0.4847417840375587
11,3476,1777,2,2194,138,0,6.289881494986327,0.0,0.0,0.0,0.9411764705882353,0.34782608695652173,0.5079365079365079,0.9371011850501367,1.0,0.9675294117647059,0.46855059252506837,0.5,0.48376470588235293
12,8596,1707,4,1517,160,26,10.54713249835201,0.8076923076923077,0.13125,0.22580645161290325,0.9655172413793104,0.175,0.29629629629629634,0.9067739771965124,0.9963154016212233,0.949438202247191,0.8572331424444101,0.5637827008106117,0.6802080618110932
13,1348,1679,3_ESTA,281,32,2,11.387900355871885,1.0,0.0625,0.11764705882352941,0.75,0.28125,0.4090909090909091,0.8924731182795699,1.0,0.9431818181818181,0.946236559139785,0.53125,0.6804639526950194
14,4071,1713,4,489,62,3,12.678936605316974,0.3333333333333333,0.016129032258064516,0.03076923076923077,0.7,0.11290322580645161,0.19444444444444445,0.8744855967078189,0.9953161592505855,0.9309967141292442,0.6039094650205761,0.505722595754325,0.5504719502021793
