,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,lex_precision,lex_recall,lex_f1,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2602,186,67,7.148347425057648,0.31343283582089554,0.11290322580645161,0.16600790513833993,0.76,0.20430107526881722,0.3220338983050847,0.9349112426035503,0.9809602649006622,0.9573823470006059,0.624172039212223,0.5469317453535569,0.5830046957517195
1,1066,1618,4,458,45,4,9.82532751091703,0.25,0.022222222222222223,0.04081632653061225,1.0,0.17777777777777778,0.3018867924528302,0.9030837004405287,0.9927360774818402,0.9457900807381776,0.5765418502202644,0.5074791498520312,0.5398105165571219
2,7673,1716,3_ESTA,611,45,44,7.3649754500818325,0.3181818181818182,0.3111111111111111,0.31460674157303375,0.6875,0.24444444444444444,0.360655737704918,0.9453262786596119,0.9469964664310954,0.9461606354810237,0.631754048420715,0.6290537887711032,0.6304010270362438
3,11012,1736,3,3784,294,109,7.76955602536998,0.42201834862385323,0.1564625850340136,0.22828784119106701,0.9142857142857143,0.32653061224489793,0.4812030075187969,0.9325170068027211,0.9819484240687679,0.9565945568736917,0.6772676777132871,0.5692055045513907,0.6185524015987721
4,9001,1720,2,3342,163,109,4.877318970676242,0.25688073394495414,0.17177914110429449,0.2058823529411765,0.6444444444444445,0.17791411042944785,0.27884615384615385,0.9582431178472007,0.9745202893991821,0.966313162819713,0.6075619258960774,0.5731497152517383,0.5898543432444053
5,1090,1626,2,3469,194,5,5.592389737676564,0.6,0.015463917525773196,0.03015075376884422,0.6984126984126984,0.2268041237113402,0.3424124513618677,0.9448614318706697,0.9993893129770992,0.9713607360142453,0.7724307159353349,0.5074266152514362,0.6124931180256881
6,1430,1686,4,1804,172,18,9.534368070953436,0.6111111111111112,0.06395348837209303,0.11578947368421053,0.8928571428571429,0.14534883720930233,0.25000000000000006,0.9098544232922733,0.9957107843137255,0.9508484493856056,0.7604827672016923,0.5298321363429093,0.6245424401307974
7,2665,1746,3_ESTA,242,21,4,8.677685950413224,1.0,0.19047619047619047,0.32,1.0,0.2857142857142857,0.4444444444444445,0.9285714285714286,1.0,0.962962962962963,0.9642857142857143,0.5952380952380952,0.7360959651035988
8,1439,1686,3_ESTA,389,49,4,12.596401028277635,0.5,0.04081632653061224,0.07547169811320753,1.0,0.12244897959183673,0.2181818181818182,0.8779220779220779,0.9941176470588236,0.9324137931034482,0.688961038961039,0.5174669867947179,0.59102505120733
9,1595,1697,3,2580,166,34,6.434108527131784,0.5882352941176471,0.12048192771084337,0.19999999999999996,0.9361702127659575,0.26506024096385544,0.4131455399061033,0.9426551453260016,0.9942004971002486,0.967741935483871,0.7654452197218243,0.557341212405546,0.6450234995284753
10,2693,1747,3,439,26,7,5.922551252847381,0.42857142857142855,0.11538461538461539,0.18181818181818182,0.625,0.19230769230769232,0.29411764705882354,0.9467592592592593,0.9903147699757869,0.9680473372781064,0.687665343915344,0.5528496926802011,0.6129318272413241
11,3476,1777,2,2194,138,5,6.289881494986327,0.6,0.021739130434782608,0.04195804195804196,0.9387755102040817,0.3333333333333333,0.4919786096256684,0.9383280036546369,0.9990272373540856,0.9677267373380448,0.7691640018273185,0.5103831838944342,0.6136051512132014
12,8596,1707,4,1444,152,43,10.526315789473683,0.5813953488372093,0.16447368421052633,0.25641025641025644,0.96,0.15789473684210525,0.27118644067796605,0.9093504639543183,0.9860681114551083,0.9461567025621983,0.7453729063957638,0.5752708978328174,0.649367133983587
13,1348,1679,3_ESTA,281,32,7,11.387900355871885,0.7142857142857143,0.15625,0.25641025641025644,0.75,0.28125,0.4090909090909091,0.9014598540145985,0.9919678714859438,0.9445506692160611,0.8078727841501564,0.5741089357429718,0.6712201437223426
14,4071,1713,4,489,62,10,12.678936605316974,0.5,0.08064516129032258,0.13888888888888887,0.7777777777777778,0.11290322580645161,0.19718309859154928,0.8810020876826722,0.9882903981264637,0.9315673289183223,0.6905010438413361,0.5344677797083931,0.6025468611009505
