inv_nr	year	round	#tokens	#gold_event_tokens	#predicted_event_tokens	gold_event_density	P-event	R-event	f1-event	lex_precision	lex_recall	lex_f1	P-none	R-none	f1-none	P-macro	R-macro	f1-macro
1160	1647	2	2602	186	81	7.148347425057648	0.7283950617283951	0.3172043010752688	0.44194756554307113	0.76	0.20430107526881722	0.3220338983050847	0.9496231654105514	0.9908940397350994	0.9698197285801095	0.8390091135694733	0.6540491704051841	0.7350727303580832
1066	1618	4	648	58	34	8.950617283950617	0.7352941176470589	0.43103448275862066	0.5434782608695653	0.8461538461538461	0.1896551724137931	0.30985915492957744	0.9462540716612378	0.9847457627118644	0.9651162790697675	0.8407740946541483	0.7078901227352425	0.7686310181049254
7673	1716	3_ESTA	611	45	50	7.3649754500818325	0.52	0.5777777777777777	0.5473684210526315	0.6875	0.24444444444444444	0.360655737704918	0.966131907308378	0.9575971731448764	0.9618456078083408	0.743065953654189	0.767687475461327	0.7551760797869158
11012	1736	3	3881	301	188	7.7557330584900805	0.5957446808510638	0.37209302325581395	0.45807770961145194	0.9035087719298246	0.34219269102990035	0.4963855421686747	0.9488220958570268	0.9787709497206704	0.9635638663550118	0.7722833883540453	0.6754319864882421	0.7206180333405227
9001	1720	2	3423	166	199	4.849547180835525	0.5125628140703518	0.6144578313253012	0.5589041095890411	0.625	0.18072289156626506	0.2803738317757009	0.9801488833746899	0.9702179920171937	0.9751581546057706	0.7463558487225208	0.7923379116712475	0.7686598201179248
3598	1781	3	3712	661	44	17.807112068965516	1.0	0.06656580937972768	0.12482269503546099	1.0	0.1649016641452345	0.2831168831168831	0.8317884405670665	1.0	0.9081708587587439	0.9158942202835332	0.5332829046898638	0.6740800993397226
1348	1679	3_ESTA	281	32	11	11.387900355871885	0.7272727272727273	0.25	0.37209302325581395	0.75	0.28125	0.4090909090909091	0.9111111111111111	0.9879518072289156	0.9479768786127168	0.8191919191919192	0.6189759036144578	0.7051472719310679
1090	1626	2	3658	206	157	5.6314926189174415	0.5159235668789809	0.3932038834951456	0.4462809917355372	0.7164179104477612	0.23300970873786409	0.3516483516483516	0.9642959154527277	0.9779837775202781	0.9710916151301596	0.7401097411658544	0.6855938305077118	0.711809498865657
1430	1686	4	2088	184	103	8.812260536398467	0.6699029126213593	0.375	0.48083623693379784	0.875	0.15217391304347827	0.2592592592592593	0.9420654911838791	0.9821428571428571	0.9616868089483157	0.8059842019026191	0.6785714285714286	0.7368101808571786
2665	1746	3_ESTA	242	21	9	8.677685950413224	0.8888888888888888	0.38095238095238093	0.5333333333333333	1.0	0.2857142857142857	0.4444444444444445	0.944206008583691	0.995475113122172	0.9691629955947136	0.9165474487362899	0.6882137470372764	0.7861363493752649
1439	1686	3_ESTA	389	49	23	12.596401028277635	0.7391304347826086	0.3469387755102041	0.4722222222222222	1.0	0.12244897959183673	0.2181818181818182	0.912568306010929	0.9823529411764705	0.9461756373937678	0.8258493703967689	0.6646458583433373	0.7365301854922945
1595	1697	3	2750	182	71	6.618181818181817	0.8169014084507042	0.31868131868131866	0.458498023715415	0.9508196721311475	0.31868131868131866	0.47736625514403286	0.9537140724150802	0.9949376947040498	0.9738898418143701	0.8853077404328922	0.6568095066926842	0.7541301303111518
2693	1747	3	439	26	13	5.922551252847381	0.7692307692307693	0.38461538461538464	0.5128205128205128	0.625	0.19230769230769232	0.29411764705882354	0.9624413145539906	0.9927360774818402	0.9773539928486293	0.86583604189238	0.6886757310486125	0.7671608275958756
3476	1777	2	2194	138	77	6.289881494986327	0.6883116883116883	0.38405797101449274	0.49302325581395345	0.9411764705882353	0.34782608695652173	0.5079365079365079	0.9598488427019367	0.9883268482490273	0.9738797028516656	0.8240802655068125	0.68619240963176	0.7488417587456062
8596	1707	4	1523	160	116	10.505581089954038	0.7931034482758621	0.575	0.6666666666666666	0.9655172413793104	0.175	0.29629629629629634	0.9516702203269367	0.9823917828319882	0.9667870036101082	0.8723868343013994	0.778695891415994	0.8228831093859816
4071	1713	4	489	62	16	12.678936605316974	0.8125	0.20967741935483872	0.33333333333333337	0.7	0.11290322580645161	0.19444444444444445	0.8964059196617337	0.9929742388758782	0.9422222222222222	0.8544529598308668	0.6013258291153585	0.7058828421071979
