,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,lex_precision,lex_recall,lex_f1,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2602,186,34,7.148347425057648,0.2647058823529412,0.04838709677419355,0.08181818181818182,0.7647058823529411,0.20967741935483872,0.3291139240506329,0.9310747663551402,0.9896523178807947,0.9594703049759229,0.5978903243540407,0.5190197073274941,0.5556702909955697
1,1066,1618,4,524,49,21,9.351145038167939,0.5714285714285714,0.24489795918367346,0.3428571428571428,1.0,0.1836734693877551,0.3103448275862069,0.9264413518886679,0.9810526315789474,0.952965235173824,0.7489349616586196,0.6129752953813105,0.6741686935259243
2,7673,1716,3_ESTA,611,45,17,7.3649754500818325,0.47058823529411764,0.17777777777777778,0.25806451612903225,0.6875,0.24444444444444444,0.360655737704918,0.9377104377104377,0.9840989399293286,0.960344827586207,0.7041493365022777,0.5809383588535532,0.6366372682794755
3,11012,1736,3,3881,301,0,7.7557330584900805,0.0,0.0,0.0,0.9035087719298246,0.34219269102990035,0.4963855421686747,0.9224426694150992,1.0,0.959656882455435,0.4612213347075496,0.5,0.4798284412277175
4,9001,1720,2,3417,165,0,4.8287971905179985,0.0,0.0,0.0,0.6170212765957447,0.17575757575757575,0.27358490566037735,0.95171202809482,1.0,0.9752586594691859,0.47585601404741,0.5,0.48762932973459294
5,1090,1626,2,3526,198,1,5.615428247305728,1.0,0.005050505050505051,0.010050251256281409,0.7121212121212122,0.23737373737373738,0.3560606060606061,0.9441134751773049,1.0,0.9712534656354881,0.9720567375886524,0.5025252525252525,0.6625376693877532
6,1430,1686,4,1963,179,53,9.11869587366276,0.5849056603773585,0.17318435754189945,0.26724137931034486,0.875,0.1564245810055866,0.2654028436018957,0.9225130890052357,0.9876681614349776,0.9539794260963725,0.7537093746912971,0.5804262594884385,0.6558144492743575
7,2665,1746,3_ESTA,242,21,5,8.677685950413224,0.6,0.14285714285714285,0.23076923076923073,1.0,0.2857142857142857,0.4444444444444445,0.9240506329113924,0.9909502262443439,0.9563318777292577,0.7620253164556963,0.5669036845507434,0.6501400139398223
8,1439,1686,3_ESTA,389,49,4,12.596401028277635,0.25,0.02040816326530612,0.037735849056603765,1.0,0.12244897959183673,0.2181818181818182,0.8753246753246753,0.9911764705882353,0.9296551724137931,0.5626623376623376,0.5057923169267707,0.5327138333692049
9,1595,1697,3,2663,176,39,6.609087495306046,0.5641025641025641,0.125,0.20465116279069767,0.9491525423728814,0.3181818181818182,0.47659574468085103,0.9413109756097561,0.9931644551668677,0.9665427509293681,0.75270676985616,0.5590822275834338,0.6416046764071008
10,2693,1747,3,439,26,1,5.922551252847381,1.0,0.038461538461538464,0.07407407407407407,0.625,0.19230769230769232,0.29411764705882354,0.9429223744292238,1.0,0.9706227967097532,0.9714611872146119,0.5192307692307693,0.6767495287464657
11,3476,1777,2,2194,138,5,6.289881494986327,0.2,0.007246376811594203,0.013986013986013986,0.9411764705882353,0.34782608695652173,0.5079365079365079,0.9374143444495203,0.9980544747081712,0.9667844522968198,0.5687071722247602,0.5026504257598827,0.533642367010258
12,8596,1707,4,1517,160,31,10.54713249835201,0.8709677419354839,0.16875,0.2827225130890052,0.9655172413793104,0.175,0.29629629629629634,0.9104979811574697,0.9970523212969786,0.9518114667604644,0.8907328615464768,0.5829011606484893,0.7046650810217228
13,1348,1679,3_ESTA,281,32,1,11.387900355871885,1.0,0.03125,0.06060606060606061,0.75,0.28125,0.4090909090909091,0.8892857142857142,1.0,0.941398865784499,0.9446428571428571,0.515625,0.6671125038214613
14,4071,1713,4,489,62,5,12.678936605316974,0.4,0.03225806451612903,0.05970149253731343,0.7,0.11290322580645161,0.19444444444444445,0.8760330578512396,0.9929742388758782,0.9308452250274424,0.6380165289256199,0.5126161516960036,0.5684830324819248
