,inv_nr,year,round,#tokens,#gold_event_tokens,#predicted_event_tokens,gold_event_density,P-event,R-event,f1-event,lex_precision,lex_recall,lex_f1,P-none,R-none,f1-none,P-macro,R-macro,f1-macro
0,1160,1647,2,2518,184,61,7.307386814932486,0.4426229508196721,0.14673913043478262,0.22040816326530613,0.76,0.20652173913043478,0.3247863247863248,0.9361009361009361,0.9854327335047129,0.9601335838029639,0.6893619434603041,0.5660859319697478,0.6216715259397406
1,1066,1618,4,496,47,37,9.475806451612904,0.5945945945945946,0.46808510638297873,0.5238095238095238,1.0,0.19148936170212766,0.32142857142857145,0.9455337690631809,0.9665924276169265,0.9559471365638766,0.7700641818288878,0.7173387669999527,0.7427669699578195
2,7673,1716,3_ESTA,598,43,44,7.190635451505016,0.5227272727272727,0.5348837209302325,0.5287356321839081,0.6875,0.2558139534883721,0.3728813559322034,0.9638989169675091,0.9621621621621622,0.9630297565374211,0.7433130948473909,0.7485229415461974,0.7459089211841323
3,11012,1736,3,3696,299,227,8.08982683982684,0.42290748898678415,0.3210702341137124,0.3650190114068441,0.9150943396226415,0.32441471571906355,0.47901234567901235,0.9414816950129721,0.9614365616720636,0.9513545004369357,0.6821945919998781,0.641253397892888,0.6610907319138697
4,9001,1720,2,3341,163,204,4.878778808739899,0.29901960784313725,0.37423312883435583,0.33242506811989103,0.6304347826086957,0.17791411042944785,0.27751196172248804,0.9674848581447243,0.9550031466331026,0.9612034837688044,0.6332522329939307,0.6646181377337292,0.6485561721733237
5,1090,1626,2,3331,184,130,5.523866706694687,0.3769230769230769,0.266304347826087,0.3121019108280255,0.6984126984126984,0.2391304347826087,0.35627530364372473,0.9578256794751641,0.9742612011439467,0.9659735349716446,0.6673743781991205,0.6202827744850168,0.642967470132336
6,1430,1686,4,1887,175,110,9.273979862215157,0.6090909090909091,0.38285714285714284,0.47017543859649125,0.9,0.15428571428571428,0.2634146341463414,0.9392234102419809,0.9748831775700935,0.9567211235310977,0.7741571596664449,0.6788701602136181,0.7233892822561101
7,2665,1746,3_ESTA,231,21,11,9.090909090909092,0.45454545454545453,0.23809523809523808,0.31249999999999994,1.0,0.2857142857142857,0.4444444444444445,0.9272727272727272,0.9714285714285714,0.9488372093023255,0.6909090909090909,0.6047619047619047,0.6449716004009355
8,1439,1686,3_ESTA,380,49,21,12.894736842105264,0.6190476190476191,0.2653061224489796,0.37142857142857144,1.0,0.12244897959183673,0.2181818181818182,0.8997214484679665,0.9758308157099698,0.936231884057971,0.7593845337577928,0.6205684690794747,0.6829944158790702
9,1595,1697,3,2533,166,116,6.553493880773786,0.5086206896551724,0.35542168674698793,0.4184397163120567,0.9387755102040817,0.27710843373493976,0.4279069767441861,0.9557302441042614,0.9759188846641318,0.9657190635451505,0.7321754668797169,0.6656702857055599,0.6973408207922989
10,2693,1747,3,419,26,16,6.205250596658711,0.4375,0.2692307692307692,0.33333333333333337,0.625,0.19230769230769232,0.29411764705882354,0.9528535980148883,0.9770992366412213,0.964824120603015,0.6951767990074442,0.6231650029359953,0.6572041504803862
11,3476,1777,2,2161,138,52,6.385932438685793,0.46153846153846156,0.17391304347826086,0.25263157894736843,0.9387755102040817,0.3333333333333333,0.4919786096256684,0.9459459459459459,0.986159169550173,0.9656340755082284,0.7037422037422038,0.580036106514217,0.6359289366196411
12,8596,1707,4,1461,158,107,10.8145106091718,0.8317757009345794,0.5632911392405063,0.6716981132075471,0.9615384615384616,0.15822784810126583,0.2717391304347826,0.94903988183161,0.9861857252494244,0.9672563041023712,0.8904077913830948,0.7747384322449653,0.8285556266065526
13,1348,1679,3_ESTA,272,32,13,11.76470588235294,0.8461538461538461,0.34375,0.4888888888888889,0.75,0.28125,0.4090909090909091,0.918918918918919,0.9916666666666667,0.9539078156312627,0.8825363825363826,0.6677083333333333,0.7602372593914012
14,4071,1713,4,475,58,11,12.210526315789473,0.7272727272727273,0.13793103448275862,0.23188405797101447,0.7777777777777778,0.1206896551724138,0.208955223880597,0.8922413793103449,0.9928057553956835,0.9398410896708287,0.8097570532915361,0.5653683949392211,0.6658462267557785
