	GysBERT	GysBERT-v2	xlm-roberta-base	bert-base-dutch-cased	robbert-v2-dutch-base	bert-base-multilingual-cased	lexical_baseline
P-event	0.6865150140269093	0.7051150641193725	0.6188873011449633	0.6361043938102695	0.6307003603457936	0.6295324584738198	0.8323217802071561
R-event	0.4013685518687719	0.3926370771404618	0.38641619066157357	0.35856345819124846	0.3684038719646542	0.430900106639554	0.2188506858345997
f1-event	0.49041928551680664	0.48255712475970636	0.45839780154576787	0.44569429890835915	0.4542753654935906	0.49707054603229783	0.3404287165423626
mean_accuracy	54.754094398351015	52.71643170349455	51.604946329703196	47.413057459356246	50.38132704679011	56.981265932551956	33.66651108011353
