;roberta-base;bert-base-cased;MacBERTh;lexical_baseline
P-event;0.5518511921674014;0.2379533170076526;0.3878761984241543;0.8390149000498546
R-event;0.24632400544716143;0.056214646530727;0.05954431151888726;0.21693556504303926
f1-event;0.31885304783757695;0.08063518117247019;0.0951488160499648;0.3384244365844623
mean_accuracy;34.84755291215775;8.581401703695413;8.480872173946619;33.55205143428892
