	GloBERTise	lexical_baseline
P-event	0.6935387438068165	0.8287638605854066
R-event	0.4957538778448928	0.2223312907638224
f1-event	0.5605119597059778	0.34455587000717086
mean_accuracy	63.51384568108074	33.60186661074502
